Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
18;48;78;353;3;1.0;1.0;1.0;48.0;15.0;2;78.0656192236599;72.77179221548025;34.25513598121698
3;3;10;224;5;2.0;2.0;4.0;135.0;0.0;1;78.0656192236599;72.77179221548025;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;55.0;0.0;1;67.61974944731024;72.77179221548025;34.25513598121698
0;0;0;39;6;2.5;3.0;4.0;90.0;0.0;1;52.5;66.16144578313254;87.29660587639312
6;29;45;306;6;1.0;2.0;3.0;120.0;40.0;6;60.342919153553986;72.77179221548025;87.29660587639312
22;52;82;357;4;1.0;1.0;2.0;94.0;38.0;1;84.93013100436681;85.65113636363637;87.29660587639312
30;60;90;365;2;1.0;1.0;1.0;33.0;14.0;1;78.0656192236599;72.77179221548025;34.25513598121698
13;43;61;62;3;1.0;1.0;2.0;50.0;20.0;2;78.90445859872611;72.77179221548025;87.29660587639312
28;58;88;178;1;1.0;1.0;1.0;25.0;10.0;1;33.410714285714285;46.363751584283904;34.25513598121698
0;5;35;310;1;3.0;1.0;1.0;38.0;30.0;1;85.58936170212766;72.77179221548025;34.25513598121698
0;0;8;277;6;2.0;2.0;2.0;125.0;40.0;4;82.51466666666667;72.77179221548025;87.29660587639312
29;59;89;364;2;1.0;1.0;1.0;90.0;30.0;2;103.72222222222223;70.86238532110092;87.29660587639312
1;10;22;179;3;1.0;2.0;3.0;69.0;20.0;2;84.93013100436681;85.65113636363637;87.29660587639312
2;2;2;99;2;1.0;1.0;1.0;38.0;0.0;1;67.61974944731024;72.77179221548025;34.25513598121698
0;30;60;151;1;2.0;;;27.0;0.0;1;32.53225806451613;34.444148936170215;34.25513598121698
16;33;63;338;2;1.0;1.0;1.0;95.0;40.0;1;82.55238095238096;71.9791013584117;87.29660587639312
8;8;8;199;2;1.0;1.0;1.0;70.0;0.0;2;60.342919153553986;72.77179221548025;34.25513598121698
1;22;52;327;1;1.0;1.0;1.0;33.0;5.0;1;52.86641221374046;46.363751584283904;34.25513598121698
0;0;0;0;4;2.0;3.0;2.0;29.0;0.0;1;43.833333333333336;46.363751584283904;87.29660587639312
9;23;33;306;12;3.0;4.0;6.0;250.0;60.0;4;82.51466666666667;72.77179221548025;87.29660587639312
7;31;57;146;6;1.0;2.0;3.0;85.0;30.0;2;69.18333333333334;71.9791013584117;87.29660587639312
21;51;81;81;1;1.0;;;20.0;0.0;1;45.717241379310344;46.363751584283904;34.25513598121698
5;12;17;17;2;1.0;1.0;1.0;39.0;0.0;1;85.58936170212766;72.77179221548025;34.25513598121698
0;0;18;18;4;1.0;3.0;3.0;75.0;0.0;1;60.342919153553986;72.77179221548025;87.29660587639312
11;26;52;327;2;1.0;0.0;1.0;70.0;70.0;1;67.61974944731024;72.77179221548025;87.29660587639312
29;57;87;362;2;1.0;1.0;1.0;45.0;0.0;2;50.0;39.63456090651558;34.25513598121698
6;28;44;302;6;1.0;3.0;3.0;40.0;29.0;2;58.56521739130435;70.86238532110092;87.29660587639312
0;0;10;20;5;2.0;2.0;3.0;90.0;40.0;2;60.342919153553986;72.77179221548025;87.29660587639312
13;43;65;340;4;1.0;1.0;1.0;95.0;70.0;2;85.58936170212766;72.77179221548025;87.29660587639312
17;43;73;73;1;1.0;1.0;1.0;30.0;0.0;1;75.41904761904762;70.86238532110092;34.25513598121698
1;3;9;275;4;1.0;1.0;2.0;60.0;30.0;2;82.51466666666667;72.77179221548025;87.29660587639312
4;11;22;297;4;1.0;1.0;2.0;75.0;20.0;2;85.58936170212766;72.77179221548025;87.29660587639312
5;11;15;205;5;2.0;3.0;4.0;125.0;30.0;1;65.95817490494296;66.16144578313254;87.29660587639312
9;25;25;27;2;1.0;1.0;1.0;40.0;30.0;1;60.342919153553986;72.77179221548025;87.29660587639312
0;0;0;249;1;1.0;1.0;1.0;10.0;20.0;1;34.875;36.6605504587156;34.25513598121698
3;12;29;288;7;1.0;2.0;4.0;110.0;0.0;4;84.93013100436681;85.65113636363637;87.29660587639312
6;18;36;307;8;1.5;2.0;5.0;99.0;30.0;4;85.58936170212766;72.77179221548025;87.29660587639312
9;37;67;67;2;2.0;1.0;1.0;45.0;0.0;1;85.58936170212766;72.77179221548025;34.25513598121698
0;0;0;0;4;1.0;2.0;2.0;60.0;0.0;1;45.306451612903224;52.2472647702407;87.29660587639312
0;0;0;125;2;1.0;1.0;3.0;39.0;5.0;1;57.316901408450704;71.9791013584117;34.25513598121698
28;58;88;179;4;1.0;0.0;1.0;45.0;30.0;1;56.62637362637363;71.9791013584117;87.29660587639312
7;26;49;139;3;1.0;0.0;2.0;65.0;20.0;2;67.61974944731024;72.77179221548025;87.29660587639312
0;0;29;304;2;1.0;1.0;1.0;40.0;15.0;1;67.61974944731024;72.77179221548025;87.29660587639312
15;43;70;345;4;1.0;1.0;2.0;45.0;5.0;2;67.61974944731024;72.77179221548025;34.25513598121698
0;25;55;56;2;1.0;1.0;1.0;40.0;0.0;1;67.61974944731024;72.77179221548025;34.25513598121698
29;59;89;89;3;1.0;0.0;2.0;95.0;20.0;2;57.316901408450704;71.9791013584117;87.29660587639312
29;59;89;364;1;1.0;1.0;1.0;30.0;0.0;1;37.12562814070352;34.444148936170215;34.25513598121698
8;25;31;32;2;1.0;0.0;1.0;40.0;25.0;1;60.342919153553986;72.77179221548025;87.29660587639312
6;15;28;221;6;1.0;2.0;4.0;100.0;0.0;1;52.86641221374046;46.363751584283904;87.29660587639312
3;12;31;121;3;1.0;2.0;2.0;59.0;20.0;2;52.86641221374046;46.363751584283904;87.29660587639312
30;60;90;180;2;1.0;1.0;2.0;23.0;0.0;1;66.7984496124031;85.65113636363637;34.25513598121698
11;39;69;341;2;1.0;1.0;1.0;69.0;30.0;1;82.55238095238096;71.9791013584117;87.29660587639312
2;10;30;268;4;1.0;1.0;2.0;60.0;20.0;2;78.90445859872611;72.77179221548025;87.29660587639312
5;5;5;10;2;1.0;1.0;1.0;63.0;15.0;2;78.90445859872611;72.77179221548025;87.29660587639312
10;35;58;318;4;1.0;1.0;2.0;55.0;30.0;2;60.342919153553986;72.77179221548025;87.29660587639312
22;52;82;357;3;2.0;2.0;2.0;25.0;0.0;1;60.342919153553986;72.77179221548025;34.25513598121698
6;28;54;235;2;1.0;1.0;1.0;45.0;15.0;1;60.342919153553986;72.77179221548025;34.25513598121698
0;6;36;311;2;1.5;1.0;1.0;50.0;20.0;1;82.51466666666667;72.77179221548025;34.25513598121698
0;0;22;297;1;2.0;1.0;1.0;20.0;0.0;1;43.65;35.46875;34.25513598121698
15;30;51;316;6;2.0;2.0;3.0;80.0;35.0;2;67.61974944731024;72.77179221548025;87.29660587639312
3;8;23;166;4;1.0;1.0;3.0;200.0;0.0;1;60.342919153553986;72.77179221548025;87.29660587639312
13;35;60;334;4;1.0;2.0;3.0;130.0;40.0;1;84.93013100436681;85.65113636363637;87.29660587639312
7;26;53;53;4;1.0;1.0;1.0;64.0;20.0;2;67.61974944731024;72.77179221548025;87.29660587639312
15;45;70;345;6;1.0;2.0;3.0;90.0;30.0;2;78.0656192236599;72.77179221548025;87.29660587639312
